"","Name","Publisher","Puntajes Cr?ticos","Puntajes usuarios"
"41","New Super Mario Bros. 2","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"42","Halo: Reach","Microsoft Game Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"43","Final Fantasy VII","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"44","Halo 4","Microsoft Game Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"45","Gran Turismo 2","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"46","Just Dance 2","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"47","Call of Duty: Ghosts","Activision","Puntajes Cr?ticos alto","Puntajes usuarios bajo"
"48","Call of Duty 4: Modern Warfare","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"49","Animal Crossing: New Leaf","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"50","Mario Party DS","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"51","The Elder Scrolls V: Skyrim","Bethesda Softworks","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"52","FIFA 16","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios intermedio"
"53","Halo 2","Microsoft Game Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"54","Wii Party","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"55","Mario Party 8","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"56","FIFA Soccer 13","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"57","Final Fantasy X","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"58","The Sims 3","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"59","Final Fantasy VIII","SquareSoft","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"60","Pokémon Platinum Version","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"61","Grand Theft Auto: Liberty City Stories","Take-Two Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"62","Call of Duty: Advanced Warfare","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios intermedio"
"63","FIFA 17","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios intermedio"
"64","Super Mario Galaxy 2","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"65","Call of Duty: World at War","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"66","Battlefield 3","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"67","Need for Speed Underground","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"68","Just Dance","Ubisoft","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"69","Battlefield 3","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"70","Fallout 4","Bethesda Softworks","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"71","Tekken 3","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"72","The Legend of Zelda: Twilight Princess","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"73","Crash Bandicoot 3: Warped","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"74","Mario Kart 8","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"75","Super Smash Bros. Melee","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"76","Need for Speed Underground 2","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"77","Medal of Honor: Frontline","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"78","Just Dance 4","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"79","Gears of War 2","Microsoft Game Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"80","Uncharted 3: Drake's Deception","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"81","Call of Duty 4: Modern Warfare","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"82","Uncharted 2: Among Thieves","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"83","Big Brain Academy","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"84","Red Dead Redemption","Take-Two Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"85","FIFA 14","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios intermedio"
"86","Assassin's Creed III","Ubisoft","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"87","Donkey Kong Country Returns","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"88","Halo: Combat Evolved","Microsoft Game Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"89","The Elder Scrolls V: Skyrim","Bethesda Softworks","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"90","Pokémon Emerald Version","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"91","Kingdom Hearts","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"92","Halo 3: ODST","Microsoft Game Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"93","Red Dead Redemption","Take-Two Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"94","Super Mario Sunshine","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"95","World of Warcraft","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"96","Driver","GT Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"97","Gears of War 3","Microsoft Game Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"98","Kinect Sports","Microsoft Game Studios","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"99","Gears of War","Microsoft Game Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"100","FIFA 15","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios intermedio"
"101","Metal Gear Solid 2: Sons of Liberty","Konami Digital Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"102","Metal Gear Solid","Konami Digital Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"103","Metal Gear Solid 4: Guns of the Patriots","Konami Digital Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"104","Final Fantasy XII","Square Enix","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"105","The Last of Us","Sony Computer Entertainment Europe","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"106","LittleBigPlanet","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"107","Resident Evil 2","Virgin Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"108","Dragon Quest IX: Sentinels of the Starry Skies","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"109","Tekken 2","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"110","Destiny","Activision","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"111","LEGO Star Wars: The Complete Saga","LucasArts","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"112","Cooking Mama","505 Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"113","Assassin's Creed II","Ubisoft","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"114","Assassin's Creed","Ubisoft","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"115","Forza Motorsport 3","Microsoft Game Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"116","Super Mario Advance","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"117","Monster Hunter Freedom Unite","Capcom","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"118","Batman: Arkham City","Warner Bros. Interactive Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"119","Grand Theft Auto V","Take-Two Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"120","Mario Kart: Super Circuit","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"121","Crash Bandicoot: The Wrath of Cortex","Universal Interactive","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"122","Call of Duty: World at War","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"123","Uncharted 4: A Thief's End","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"124","Final Fantasy XIII","Square Enix","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"125","Final Fantasy IX","SquareSoft","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"126","Assassin's Creed III","Ubisoft","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"127","Final Fantasy X-2","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"128","Call of Duty: Advanced Warfare","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios intermedio"
"129","Assassin's Creed II","Ubisoft","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"130","Madden NFL 2004","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"131","New Super Mario Bros. U","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"132","Dragon Quest VIII: Journey of the Cursed King","Square Enix","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"133","Professor Layton and the Curious Village","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"134","FIFA Soccer 13","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"135","Diablo III","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios bajo"
"136","Medal of Honor: Rising Sun","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"137","Guitar Hero II","RedOctane","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"138","Fable III","Microsoft Game Studios","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"139","Resident Evil 5","Capcom","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"140","The Legend of Zelda: Phantom Hourglass","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"141","FIFA Soccer 11","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"142","Resident Evil","Virgin Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"143","Grand Theft Auto: Vice City Stories","Take-Two Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"144","Tony Hawk's Pro Skater","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"145","Guitar Hero III: Legends of Rock","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"146","Link's Crossbow Training","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"147","Fallout 3","Bethesda Softworks","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"148","Uncharted: Drake's Fortune","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"149","Madden NFL 06","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"150","StarCraft II: Wings of Liberty","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"151","Assassin's Creed","Ubisoft","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"152","God of War III","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"153","Crash Team Racing","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"154","LEGO Star Wars: The Complete Saga","LucasArts","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"155","Driver 2","Atari","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"156","Batman: Arkham City","Warner Bros. Interactive Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"157","Tony Hawk's Pro Skater 2","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"158","The Lord of the Rings: The Two Towers","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"159","Tomb Raider","Eidos Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"160","Animal Crossing: City Folk","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"161","Uncharted: The Nathan Drake Collection","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"162","The Legend of Zelda: The Wind Waker","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"163","Guitar Hero III: Legends of Rock","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"164","Luigi's Mansion: Dark Moon","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"165","Forza Motorsport 4","Microsoft Game Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"166","Madden NFL 2005","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"167","Guitar Hero III: Legends of Rock","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"168","Madden NFL 07","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"169","Halo 5: Guardians","Microsoft Game Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"170","Spider-Man: The Movie","Activision","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"171","Call of Duty: Infinite Warfare","Activision","Puntajes Cr?ticos alto","Puntajes usuarios bajo"
"172","God of War","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"173","Splatoon","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"174","Nintendo Land","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"175","Tony Hawk's Pro Skater 3","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"176","Winning Eleven: Pro Evolution Soccer 2007","Konami Digital Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"177","The Elder Scrolls IV: Oblivion","Take-Two Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"178","Need for Speed: Most Wanted","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"179","Michael Jackson: The Experience","Ubisoft","Puntajes Cr?ticos intermedio","Puntajes usuarios muy alto"
"180","Resistance: Fall of Man","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"181","Kingdom Hearts II","Square Enix","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"182","Super Mario 3D World","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"183","Fable II","Microsoft Game Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"184","Namco Museum","Namco Bandai Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"185","Batman: Arkham Asylum","Eidos Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"186","Metal Gear Solid 3: Snake Eater","Konami Digital Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"187","Assassin's Creed: Revelations","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"188","Fallout 4","Bethesda Softworks","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"189","FIFA 14","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios intermedio"
"190","Daxter","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"191","FIFA Soccer 06","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"192","EyeToy Play","Sony Computer Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"193","Gran Turismo 5 Prologue","Sony Computer Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"194","Assassin's Creed: Revelations","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"195","Street Fighter IV","Capcom","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"196","Madden NFL 2003","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"197","Half-Life","Vivendi Games","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"198","World of Warcraft: The Burning Crusade","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"199","Battlefield 1","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"200","God of War II","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"201","Fallout: New Vegas","Bethesda Softworks","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"202","Forza Motorsport 2","Microsoft Game Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"203","Carnival Games","Take-Two Interactive","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"204","Watch Dogs","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"205","Tekken Tag Tournament","Namco Bandai Games","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"206","Far Cry 4","Ubisoft","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"207","Left 4 Dead 2","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"208","The Witcher 3: Wild Hunt","Namco Bandai Games","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"209","Assassin's Creed: Unity","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"210","Batman: Arkham Knight","Warner Bros. Interactive Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"211","The Legend of Zelda: Skyward Sword","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"212","Fallout 3","Bethesda Softworks","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"213","Professor Layton and the Diabolical Box","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"214","EA Sports Active","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"215","Tony Hawk's Underground","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"216","Monster Hunter 4 Ultimate","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"217","The Elder Scrolls V: Skyrim","Bethesda Softworks","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"218","NBA 2K16","Take-Two Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"219","Tekken 5","Namco Bandai Games","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"220","MotorStorm","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"221","World Soccer Winning Eleven 8 International","Konami Digital Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"222","Sports Champions","Sony Computer Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"223","Call of Duty: Ghosts","Activision","Puntajes Cr?ticos alto","Puntajes usuarios bajo"
"224","Flash Focus: Vision Training in Minutes a Day","Nintendo","Puntajes Cr?ticos intermedio","Puntajes usuarios bajo"
"225","Tom Clancy's The Division","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"226","Big Brain Academy: Wii Degree","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"227","LEGO Indiana Jones: The Original Adventures","Activision","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"228","The Sims: Unleashed","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"229","Harry Potter and the Sorcerer's Stone","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"230","Super Paper Mario","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"231","Spyro: Year of the Dragon","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"232","Assassin's Creed IV: Black Flag","Ubisoft","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"233","FIFA Soccer 2005","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"234","Tony Hawk's Pro Skater 4","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"235","MySims","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"236","Midnight Club 3: DUB Edition","Take-Two Interactive","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"237","SOCOM: U.S. Navy SEALs","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"238","Jak and Daxter: The Precursor Legacy","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"239","Pro Evolution Soccer 2008","Konami Digital Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"240","Resident Evil 4","Capcom","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"241","Guitar Hero: World Tour","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"242","FIFA Soccer 10","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"243","Star Wars: Battlefront","LucasArts","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"244","The Simpsons: Road Rage","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"245","Luigi's Mansion","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"246","Battlefield 4","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"247","Star Wars: Battlefront II","LucasArts","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"248","Cooking Mama 2: Dinner With Friends","505 Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"249","Grand Theft Auto: Liberty City Stories","Take-Two Interactive","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"250","The Getaway","Sony Computer Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"251","James Bond 007: Agent Under Fire","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"252","FIFA Soccer 11","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"253","Left 4 Dead","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"254","Assassin's Creed: Unity","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"255","Resident Evil 5","Capcom","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"256","Assassin's Creed: Brotherhood","Ubisoft","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"257","FIFA Soccer 2004","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"258","Battlefield 4","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"259","Batman: Arkham Asylum","Eidos Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"260","Battlefield 4","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
