"","Name","Platform","Year_of_Release","Genre","Publisher","Developer","Rating","Ventas NA","Ventas EU","Ventas JP","Ventas otras","Ventas globales","Puntajes Cr?ticos","n? criticas criticos","Puntajes usuarios","n? cr?ticas usuarios"
"30","Halo 3","X360","2007","Shooter","Microsoft Game Studios","Bungie Software, Bungie","M","ventas en NA intermedias","pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios bajo"
"31","Gran Turismo 4","PS2","2004","Racing","Sony Computer Entertainment","Polyphony Digital","E","muy pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","Bastantes Ventas otras ","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"32","Super Mario Galaxy","Wii","2007","Platform","Nintendo","Nintendo","E","pocas ventas en NA","pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios bajo"
"33","Grand Theft Auto IV","X360","2008","Action","Take-Two Interactive","Rockstar North","M","ventas en NA intermedias","pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios bajo"
"34","Gran Turismo","PS","1997","Racing","Sony Computer Entertainment","Polyphony Digital","E","pocas ventas en NA","pocas Ventas en EU","pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"35","Super Mario 3D Land","3DS","2011","Platform","Nintendo","Nintendo","E","pocas ventas en NA","pocas Ventas en EU","pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"36","Gran Turismo 5","PS3","2010","Racing","Sony Computer Entertainment","Polyphony Digital","E","muy pocas ventas en NA","pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"37","Call of Duty: Modern Warfare 2","PS3","2009","Shooter","Activision","Infinity Ward","M","pocas ventas en NA","pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"38","Grand Theft Auto IV","PS3","2008","Action","Take-Two Interactive","Rockstar North","M","pocas ventas en NA","pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios bajo"
"39","Call of Duty: Ghosts","X360","2013","Shooter","Activision","Infinity Ward","M","ventas en NA intermedias","pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios bajo","n? cr?ticas usuarios muy bajo"
"40","Just Dance 3","Wii","2011","Misc","Ubisoft","Ubisoft","E10+","pocas ventas en NA","pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"41","New Super Mario Bros. 2","3DS","2012","Platform","Nintendo","Nintendo","E","pocas ventas en NA","pocas Ventas en EU","pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"42","Halo: Reach","X360","2010","Shooter","Microsoft Game Studios","Bungie","M","ventas en NA intermedias","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos muy alto","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"43","Final Fantasy VII","PS","1997","Role-Playing","Sony Computer Entertainment","SquareSoft","T","muy pocas ventas en NA","muy pocas Ventas en EU","Ventas en JP intermedias","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"44","Halo 4","X360","2012","Shooter","Microsoft Game Studios","343 Industries","M","ventas en NA intermedias","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios bajo"
"45","Gran Turismo 2","PS","1999","Racing","Sony Computer Entertainment","Polyphony Digital","T","pocas ventas en NA","pocas Ventas en EU","pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"46","Just Dance 2","Wii","2010","Misc","Ubisoft","Ubisoft","E10+","pocas ventas en NA","pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"47","Call of Duty: Ghosts","PS3","2013","Shooter","Activision","Infinity Ward","M","pocas ventas en NA","pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios bajo","n? cr?ticas usuarios muy bajo"
"48","Call of Duty 4: Modern Warfare","X360","2007","Shooter","Activision","Infinity Ward","M","pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"49","Animal Crossing: New Leaf","3DS","2012","Simulation","Nintendo","Nintendo","E","muy pocas ventas en NA","muy pocas Ventas en EU","Bastantes Ventas en JP ","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"50","Mario Party DS","DS","2007","Misc","Nintendo","Hudson Soft","E","pocas ventas en NA","muy pocas Ventas en EU","pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"51","The Elder Scrolls V: Skyrim","X360","2011","Role-Playing","Bethesda Softworks","Bethesda Game Studios","M","pocas ventas en NA","pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios bajo"
"52","FIFA 16","PS4","2015","Sports","Electronic Arts","EA Sports","E","muy pocas ventas en NA"," Ventas en EU intermedias","muy pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"53","Halo 2","XB","2004","Shooter","Microsoft Game Studios","Bungie Software","M","ventas en NA intermedias","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos muy alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"54","Wii Party","Wii","2010","Misc","Nintendo","Nd Cube","E","muy pocas ventas en NA","pocas Ventas en EU","pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"55","Mario Party 8","Wii","2007","Misc","Nintendo","Hudson","E","pocas ventas en NA","muy pocas Ventas en EU","pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"56","FIFA Soccer 13","PS3","2012","Action","Electronic Arts","Electronic Arts","E","muy pocas ventas en NA","pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"57","Final Fantasy X","PS2","2001","Role-Playing","Sony Computer Entertainment","SquareSoft","T","muy pocas ventas en NA","muy pocas Ventas en EU","Ventas en JP intermedias","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"58","The Sims 3","PC","2009","Simulation","Electronic Arts","The Sims Studio","T","muy pocas ventas en NA"," Ventas en EU intermedias","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"59","Final Fantasy VIII","PS","1999","Role-Playing","SquareSoft","SquareSoft","T","muy pocas ventas en NA","muy pocas Ventas en EU","Ventas en JP intermedias","muy pocas Ventas otras","Bastantes Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"60","Pokémon Platinum Version","DS","2008","Role-Playing","Nintendo","Game Freak","E","muy pocas ventas en NA","muy pocas Ventas en EU","Ventas en JP intermedias","muy pocas Ventas otras","Bastantes Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"61","Grand Theft Auto: Liberty City Stories","PSP","2005","Action","Take-Two Interactive","Rockstar Leeds","M","muy pocas ventas en NA","pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","Bastantes Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"62","Call of Duty: Advanced Warfare","PS4","2014","Shooter","Activision","Sledgehammer Games","M","muy pocas ventas en NA","pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","Bastantes Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"63","FIFA 17","PS4","2016","Sports","Electronic Arts","EA Sports, EA Vancouver","E","muy pocas ventas en NA"," Ventas en EU intermedias","muy pocas Ventas en JP","muy pocas Ventas otras","Bastantes Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"64","Super Mario Galaxy 2","Wii","2010","Platform","Nintendo","Nintendo EAD Tokyo","E","pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","Bastantes Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"65","Call of Duty: World at War","X360","2008","Shooter","Activision","Treyarch","M","pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","Bastantes Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"66","Battlefield 3","X360","2011","Shooter","Electronic Arts","EA DICE","M","pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","Bastantes Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios bajo"
"67","Need for Speed Underground","PS2","2003","Racing","Electronic Arts","EA Black Box","E","pocas ventas en NA","pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","Bastantes Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"68","Just Dance","Wii","2009","Misc","Ubisoft","Ubisoft Paris","E10+","pocas ventas en NA","pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","Bastantes Ventas globales","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"69","Battlefield 3","PS3","2011","Shooter","Electronic Arts","EA DICE","M","muy pocas ventas en NA","pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","Bastantes Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"70","Fallout 4","PS4","2015","Role-Playing","Bethesda Softworks","Bethesda Game Studios","M","muy pocas ventas en NA","pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","Bastantes Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios bajo"
"71","Tekken 3","PS","1998","Fighting","Sony Computer Entertainment","Namco","T","pocas ventas en NA","muy pocas Ventas en EU","pocas Ventas en JP","muy pocas Ventas otras","Bastantes Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"72","The Legend of Zelda: Twilight Princess","Wii","2006","Action","Nintendo","Nintendo","T","pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","Bastantes Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"73","Crash Bandicoot 3: Warped","PS","1998","Platform","Sony Computer Entertainment","Naughty Dog","E","pocas ventas en NA","muy pocas Ventas en EU","pocas Ventas en JP","muy pocas Ventas otras","Bastantes Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"74","Mario Kart 8","WiiU","2014","Racing","Nintendo","Nintendo","E","pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","Bastantes Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"75","Super Smash Bros. Melee","GC","2001","Fighting","Nintendo","HAL Labs","T","pocas ventas en NA","muy pocas Ventas en EU","pocas Ventas en JP","muy pocas Ventas otras","Bastantes Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"76","Need for Speed Underground 2","PS2","2004","Racing","Electronic Arts","EA Canada","E","muy pocas ventas en NA","pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","Bastantes Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"77","Medal of Honor: Frontline","PS2","2002","Shooter","Electronic Arts","EA LA","T","muy pocas ventas en NA","pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","Bastantes Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"78","Just Dance 4","Wii","2012","Misc","Ubisoft","Ubisoft","E10+","pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","Bastantes Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"79","Gears of War 2","X360","2008","Shooter","Microsoft Game Studios","Epic Games","M","pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","Bastantes Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios bajo"
"80","Uncharted 3: Drake's Deception","PS3","2011","Action","Sony Computer Entertainment","Naughty Dog","T","muy pocas ventas en NA","pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","Bastantes Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos muy alto","Puntajes usuarios muy alto","n? cr?ticas usuarios bajo"
"81","Call of Duty 4: Modern Warfare","PS3","2007","Shooter","Activision","Infinity Ward","M","muy pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","Bastantes Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"82","Uncharted 2: Among Thieves","PS3","2009","Action","Sony Computer Entertainment","Naughty Dog","T","pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","Bastantes Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos muy alto","Puntajes usuarios muy alto","n? cr?ticas usuarios intermedio"
"83","Big Brain Academy","DS","2005","Misc","Nintendo","Nintendo","E","muy pocas ventas en NA","pocas Ventas en EU","pocas Ventas en JP","muy pocas Ventas otras","Bastantes Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"84","Red Dead Redemption","PS3","2010","Action","Take-Two Interactive","Rockstar San Diego","M","muy pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","Bastantes Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios bajo"
"85","FIFA 14","PS3","2013","Sports","Electronic Arts","EA Canada","E","muy pocas ventas en NA","pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","Bastantes Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
